arch_seed,logical_two_qubit,model,representation,runtime_s,swap_est,train_size,transpiled_depth,transpiled_two_qubit
5002,4,M4_entangled,R2_pca8,35.35,2,5000,20,14
5002,4,M5_frozen,R2_pca8,52.48,2,5000,20,14
5003,0,M3_product,R2_pca8,24.71,0,5000,4,0
5003,4,M4_entangled,R2_pca8,64.45,1,5000,17,12
5003,4,M5_frozen,R2_pca8,20.61,1,5000,17,12
5004,0,M3_product,R2_pca8,52.39,0,5000,4,0
5004,4,M4_entangled,R2_pca8,64.44,1,5000,17,12
5004,4,M5_frozen,R2_pca8,52.53,1,5000,17,12
5000,0,M3_product,R2_pca8,119.21,0,10000,4,0
5000,8,M4_entangled,R2_pca8,42.58,5,10000,38,32
5000,8,M5_frozen,R2_pca8,121.75,5,10000,38,32
5001,0,M3_product,R2_pca8,41.15,0,10000,4,0
5001,4,M4_entangled,R2_pca8,64.44,1,10000,18,12
5001,4,M5_frozen,R2_pca8,57.16,1,10000,18,12
5002,0,M3_product,R2_pca8,41.88,0,10000,4,0
5002,4,M4_entangled,R2_pca8,71.29,2,10000,20,14
5002,4,M5_frozen,R2_pca8,57.48,2,10000,20,14
5003,0,M3_product,R2_pca8,42.57,0,10000,4,0
5003,4,M4_entangled,R2_pca8,129.48,1,10000,17,12
5003,4,M5_frozen,R2_pca8,38.75,1,10000,17,12
5004,0,M3_product,R2_pca8,49.17,0,10000,4,0
5004,4,M4_entangled,R2_pca8,35.22,1,10000,17,12
5004,4,M5_frozen,R2_pca8,27.52,1,10000,17,12
5000,0,M3_product,R2_pca8,1.43,0,500,4,0
5000,8,M4_entangled,R2_pca8,2.03,5,500,38,32
5000,8,M5_frozen,R2_pca8,1.99,5,500,38,32
5001,0,M3_product,R2_pca8,1.46,0,500,4,0
5001,4,M4_entangled,R2_pca8,7.7,1,500,18,12
5001,4,M5_frozen,R2_pca8,6.78,1,500,18,12
5002,0,M3_product,R2_pca8,1.7,0,500,4,0
5002,4,M4_entangled,R2_pca8,3.21,2,500,20,14
5002,4,M5_frozen,R2_pca8,3.1,2,500,20,14
5003,0,M3_product,R2_pca8,1.8,0,500,4,0
5003,4,M4_entangled,R2_pca8,1.95,1,500,17,12
5003,4,M5_frozen,R2_pca8,2.03,1,500,17,12
5004,0,M3_product,R2_pca8,2.57,0,500,4,0
5004,4,M4_entangled,R2_pca8,2.4,1,500,17,12
5004,4,M5_frozen,R2_pca8,2.14,1,500,17,12
5000,0,M3_product,R2_pca8,13.89,0,2000,4,0
5000,8,M4_entangled,R2_pca8,30.48,5,2000,38,32
5000,8,M5_frozen,R2_pca8,30.3,5,2000,38,32
5001,0,M3_product,R2_pca8,28.93,0,2000,4,0
5001,4,M4_entangled,R2_pca8,22.07,1,2000,18,12
5001,4,M5_frozen,R2_pca8,34.31,1,2000,18,12
5002,0,M3_product,R2_pca8,25.58,0,2000,4,0
5002,4,M4_entangled,R2_pca8,28.88,2,2000,20,14
