arch_seed,block,embed_params,epochs_run,failed,frozen_quantum_params,head_params,input_dim,logical_two_qubit,model,q_unchanged,quantum_params,representation,runtime_s,swap_est,test_auroc,test_balanced_accuracy,test_brier,test_classification_error,test_ece,test_logloss,total_params,total_trainable_params,train_size,transpiled_depth,transpiled_two_qubit,val_auroc,val_balanced_accuracy,val_brier,val_classification_error,val_ece,val_logloss
5000,4,88,15,False,0,5,21,0,M3_product,False,12,R1_raw21,48.03,0,0.621549178222907,0.5863700564971752,0.23805558120987788,0.4096,0.009828305017679437,0.6686528445193415,105,105,10000,4,0,0.6368652092963534,0.5888466230097587,0.23514866415740776,0.406,0.010658016737064036,0.6625222903369149
5000,4,88,23,False,0,5,21,8,M4_entangled,False,12,R1_raw21,82.37,5,0.6374341936312276,0.6002375449409347,0.23475824402526305,0.3988,0.012955418918975404,0.6618508674501558,105,105,10000,38,32,0.6553080460323575,0.6160198382126348,0.23122850205852274,0.383,0.016157669386297997,0.6542699516928315
5000,4,88,33,False,12,5,21,8,M5_frozen,True,12,R1_raw21,96.27,5,0.6393225154083204,0.594700179763739,0.23473412730401652,0.4032,0.022386209354503618,0.661873676123559,105,93,10000,38,32,0.6524179827940422,0.6150568181818181,0.2311254227711894,0.382,0.022887913607655727,0.6537547557694328
5001,4,88,50,False,0,5,21,0,M3_product,False,12,R1_raw21,150.34,0,0.638655303030303,0.597143040575244,0.23498035432230194,0.3982,0.016628075755363916,0.6626512133323987,105,105,10000,4,0,0.6538615096944017,0.6071279532614278,0.23132280500809482,0.388,0.013068220295855823,0.6547361969866724
5001,4,88,50,False,0,5,21,4,M4_entangled,False,12,R1_raw21,179.11,1,0.6240909090909091,0.5882030046224962,0.2377551747050222,0.407,0.012657621723855567,0.6681332543759106,105,105,10000,18,12,0.6368451463790447,0.5862625192604006,0.2342704346061936,0.4095,0.018962906888834084,0.6605151710694755
5001,4,88,50,False,12,5,21,4,M5_frozen,True,12,R1_raw21,146.4,1,0.6156778055983565,0.5766467642526965,0.23914301691789064,0.416,0.012996159936831758,0.6710180315021814,105,93,10000,18,12,0.6211950677324087,0.5748106060606061,0.2381194448606374,0.4175,0.00598650509386635,0.6689234970992968
5002,4,88,50,False,0,5,21,0,M3_product,False,12,R1_raw21,141.83,0,0.6172638995891114,0.5808230611196713,0.23866909739966996,0.4142,0.012526554314570698,0.669842241706073,105,105,10000,4,0,0.6300327828068824,0.5841117745249101,0.23484193641449336,0.411,0.013945021592269107,0.6615913999420723
5002,4,88,50,False,0,5,21,4,M4_entangled,False,12,R1_raw21,158.62,2,0.6434681561376476,0.59957948125321,0.23354169993118218,0.398,0.013327362587470382,0.6592456453286947,105,105,10000,20,14,0.6506715058423216,0.5982761941448382,0.23119796146609728,0.398,0.022908085732743833,0.6539764127718299
5002,4,88,19,False,12,5,21,4,M5_frozen,True,12,R1_raw21,51.09,2,0.6380798985618901,0.5992648947098099,0.23488945045762752,0.398,0.01428296288399368,0.6623021300343135,105,93,10000,20,14,0.6462065035952747,0.6047685541859271,0.23264532830821696,0.3915,0.010063826164017157,0.6572298429161041
5003,4,88,30,False,0,5,21,0,M3_product,False,12,R1_raw21,90.8,0,0.6514185285053928,0.6112769645608629,0.23205671468990513,0.3856,0.013710649699122546,0.6563245919499799,105,105,10000,4,0,0.6576233066897792,0.5974656522855676,0.22989431376754865,0.3985,0.02864214266125977,0.651134269272784
5003,4,88,21,False,0,5,21,4,M4_entangled,False,12,R1_raw21,66.57,1,0.617253145865434,0.5826913199794556,0.23890882454989087,0.4118,0.01912667397726598,0.670395149964156,105,105,10000,17,12,0.6348508923985619,0.5875064201335387,0.23449622656417865,0.407,0.012226610131148459,0.6610591014294098
5003,4,88,50,False,12,5,21,4,M5_frozen,True,12,R1_raw21,118.12,1,0.6195595788392398,0.5847072419106317,0.23851144262466267,0.411,0.016803228696967393,0.669559123938913,105,93,10000,17,12,0.6292292629686698,0.5781571006676939,0.23510269383374094,0.418,0.024733045160929414,0.6621392910132055
5004,4,88,25,False,0,5,21,0,M3_product,False,12,R1_raw21,60.46,0,0.6139451720595788,0.5805277349768875,0.23987526466291223,0.4138,0.020174385055399487,0.6725437341030664,105,105,10000,4,0,0.6261566271828454,0.5870570107858244,0.23732719024690754,0.407,0.02404868654147193,0.6670799760308505
5004,4,88,16,False,0,5,21,4,M4_entangled,False,12,R1_raw21,45.29,1,0.6302776707755522,0.5837827426810478,0.2366471602106595,0.4092,0.024587763661899045,0.6658188885129428,105,105,10000,17,12,0.6601552468541346,0.614133923985619,0.22986722582971267,0.379,0.02260423393966623,0.6513896146326629
5004,4,88,25,False,12,5,21,4,M5_frozen,True,12,R1_raw21,57.31,1,0.6273513739085772,0.5785310734463277,0.23687643821544643,0.4156,0.023607662186952316,0.66606851068992,105,93,10000,17,12,0.6520919603877761,0.6064859399075501,0.2310223674382678,0.3885,0.01962871757574997,0.6533590012486438
,0,,,False,,,8,,M0_class_prior,,,R2_pca8,0.0,,0.5,0.5,0.24921599999999994,0.472,1.1102230246251565e-16,0.691578359988849,0,0,500,,,0.5,0.5,0.24921599999999994,0.472,2.220446049250313e-16,0.6915783599888489
,0,,,False,,,8,,M1_logreg,,,R2_pca8,0.03,,0.5148120505906523,0.5123491268618388,0.25193765948372077,0.4792,0.03981363778170516,0.6972276769581489,9,9,500,,,0.5495062516050334,0.5363861068310221,0.2479351405548434,0.456,0.03447922035938665,0.6890819627732043
