block,model,representation,test_auroc,test_logloss,train_size
3,M3_product,R2_pca8,0.6044345467385721,0.6740032242633104,10000
4,M3_product,R2_pca8,0.604004397791474,0.6755678634375064,10000
0,M4_entangled,R2_pca8,0.6144730675398048,0.6709655017505453,10000
1,M4_entangled,R2_pca8,0.6006102336928608,0.6762098488867426,10000
2,M4_entangled,R2_pca8,0.5989003916281459,0.6765689070042348,10000
3,M4_entangled,R2_pca8,0.6130365626605034,0.6716718370388683,10000
4,M4_entangled,R2_pca8,0.6110293079096045,0.672828074531192,10000
0,M5_frozen,R2_pca8,0.6156874357986646,0.6704818755199985,10000
1,M5_frozen,R2_pca8,0.5966080829481254,0.6772547678968415,10000
2,M5_frozen,R2_pca8,0.5900566576784797,0.679963788375344,10000
3,M5_frozen,R2_pca8,0.5990392270159219,0.6762010985671496,10000
4,M5_frozen,R2_pca8,0.6085111710323574,0.674082211113386,10000
0,M0_class_prior,R3_pca16,0.5,0.691578359988849,500
1,M0_class_prior,R3_pca16,0.5,0.691578359988849,500
2,M0_class_prior,R3_pca16,0.5,0.691578359988849,500
3,M0_class_prior,R3_pca16,0.5,0.691578359988849,500
4,M0_class_prior,R3_pca16,0.5,0.691578359988849,500
0,M1_logreg,R3_pca16,0.5194329417051875,0.7009321937791898,500
1,M1_logreg,R3_pca16,0.5510333204930662,0.6893649845828478,500
2,M1_logreg,R3_pca16,0.5365307203389831,0.6991599537044003,500
3,M1_logreg,R3_pca16,0.5630649717514125,0.6869193085294155,500
4,M1_logreg,R3_pca16,0.537418624807396,0.6931403147557108,500
0,M2_mlp,R3_pca16,0.5289066512583462,0.6907872925502437,500
1,M2_mlp,R3_pca16,0.5446008281972265,0.6925101233825243,500
2,M2_mlp,R3_pca16,0.5285410246533129,0.6938613750541008,500
3,M2_mlp,R3_pca16,0.54314281587057,0.690668206008842,500
4,M2_mlp,R3_pca16,0.538910663841808,0.6907035519462897,500
0,M3_product,R3_pca16,0.5182031651258346,0.6931784855393031,500
1,M3_product,R3_pca16,0.5500999935798665,0.6880041798545763,500
2,M3_product,R3_pca16,0.5333285182331793,0.6901679585290788,500
3,M3_product,R3_pca16,0.5587713469440165,0.6867111977222319,500
4,M3_product,R3_pca16,0.5301019196199281,0.6913296268553071,500
0,M4_entangled,R3_pca16,0.5257861453518233,0.6911190548476053,500
1,M4_entangled,R3_pca16,0.5354596815613765,0.6898971294002265,500
2,M4_entangled,R3_pca16,0.5319183359013867,0.6903447712264754,500
3,M4_entangled,R3_pca16,0.5556548536209553,0.6869757045265833,500
4,M4_entangled,R3_pca16,0.5334488957370314,0.6898955982372117,500
0,M5_frozen,R3_pca16,0.5312260850025681,0.6912391351075461,500
1,M5_frozen,R3_pca16,0.5365084103749358,0.6901430373609071,500
2,M5_frozen,R3_pca16,0.5315759822804315,0.6903093171272774,500
3,M5_frozen,R3_pca16,0.5557066961992809,0.686856050738507,500
4,M5_frozen,R3_pca16,0.5352698061119672,0.6892367296458726,500
0,M0_class_prior,R3_pca16,0.5,0.691578359988849,2000
1,M0_class_prior,R3_pca16,0.5,0.691578359988849,2000
2,M0_class_prior,R3_pca16,0.5,0.691578359988849,2000
3,M0_class_prior,R3_pca16,0.5,0.691578359988849,2000
4,M0_class_prior,R3_pca16,0.5,0.691578359988849,2000
0,M1_logreg,R3_pca16,0.5399096366204418,0.6889149686082466,2000
1,M1_logreg,R3_pca16,0.5460156651258347,0.687720634171918,2000
2,M1_logreg,R3_pca16,0.5470968156137648,0.6900269083179479,2000
3,M1_logreg,R3_pca16,0.5454457177709295,0.6887163393018879,2000
4,M1_logreg,R3_pca16,0.5443515665125835,0.6886145749711183,2000
0,M2_mlp,R3_pca16,0.5511622046738572,0.6895570964407268,2000
