arch,block,seed,trainable_logloss,frozen_logloss,diff_frozen_minus_trainable
16,6,1,0.7027226378485935,0.7027226378485936,1.1102230246251565e-16
17,6,0,0.7442370256068737,0.7115338480609634,-0.032703177545910234
17,6,1,0.7717164417575082,0.7637937056766367,-0.007922736080871462
18,6,0,0.7587489246122908,0.740033417700764,-0.01871550691152679
18,6,1,0.7441488745407256,0.747356375029638,0.003207500488912385
19,6,0,0.7362715726605573,0.7257364765237355,-0.010535096136821798
19,6,1,0.7284086871611072,0.720559820378796,-0.007848866782311226
0,7,0,0.7641918262208833,0.7445920304722133,-0.01959979574866999
0,7,1,0.7445389640147457,0.7465600366237848,0.002021072609039054
1,7,0,0.7639739344584762,0.7362060385916913,-0.027767895866784853
1,7,1,0.735524783358871,0.7541053299254402,0.018580546566569267
2,7,0,0.7917810710241816,0.744194919764636,-0.04758615125954557
2,7,1,0.7806465015303092,0.7860638827385117,0.005417381208202454
3,7,0,0.7681592826013459,0.7329009440146387,-0.03525833858670724
3,7,1,0.7457553647974413,0.7420941521221134,-0.0036612126753279295
4,7,0,0.7307307585039972,0.717283068666711,-0.01344768983728617
4,7,1,0.7797518061062473,0.7812487611223716,0.0014969550161243461
5,7,0,0.7419238983155259,0.7483188456233746,0.006394947307848731
5,7,1,0.7672359496719907,0.7751337539436585,0.007897804271667752
6,7,0,0.7539475664018287,0.7613733397054723,0.007425773303643579
6,7,1,0.7243866402561546,0.7416317738864227,0.017245133630268028
7,7,0,0.7243670350844152,0.7244841969508852,0.0001171618664699281
7,7,1,0.7554451385355737,0.7267516074493385,-0.02869353108623518
8,7,0,0.7642256707460979,0.764571068963075,0.0003453982169770997
8,7,1,0.7676499755412567,0.7460593546026167,-0.02159062093863995
9,7,0,0.7294066832331219,0.7316377573332393,0.0022310741001174694
9,7,1,0.7273056108218864,0.7372981809594694,0.009992570137583034
10,7,0,0.7307992548131848,0.7738601674924419,0.04306091267925716
10,7,1,0.779144810261901,0.7490093717364278,-0.03013543852547318
11,7,0,0.798033809431277,0.7980338094312768,-2.220446049250313e-16
11,7,1,0.7972715040714504,0.7972715040714503,-1.1102230246251565e-16
12,7,0,0.8098389026016067,0.7401538932236356,-0.06968500937797117
12,7,1,0.7666112215749413,0.7561554604151508,-0.010455761159790522
13,7,0,0.7518189694868512,0.7326917609805427,-0.019127208506308557
13,7,1,0.7358509782127086,0.7229022518758923,-0.012948726336816319
14,7,0,0.7060330414360453,0.7305873185456547,0.024554277109609446
14,7,1,0.7253567896997729,0.7255880748669867,0.00023128516721382386
15,7,0,0.7709180333898111,0.7984103653598196,0.027492331970008443
15,7,1,0.7544355029435649,0.743622798836567,-0.010812704106997861
16,7,0,0.7353407163709924,0.7353407163709925,1.1102230246251565e-16
16,7,1,0.7090495201622922,0.7090495201622923,1.1102230246251565e-16
17,7,0,0.746863492298819,0.718794101785526,-0.028069390513292936
17,7,1,0.7491446068763703,0.7293996707737755,-0.019744936102594757
18,7,0,0.7889232586139071,0.7810756747555634,-0.00784758385834372
18,7,1,0.763637334035077,0.7833574470609892,0.019720113025912145
19,7,0,0.7217876620334353,0.7360592812423918,0.014271619208956587
19,7,1,0.7356456142017146,0.7338339603566253,-0.0018116538450893005
0,8,0,0.7487453291696239,0.7295970322766054,-0.019148296893018446
0,8,1,0.8163183779315507,0.7903986845134957,-0.025919693418055
1,8,0,0.7516345473058127,0.7382789237433203,-0.013355623562492425
1,8,1,0.7341072561107167,0.7472652129683452,0.01315795685762855
2,8,0,0.7825755914922531,0.7812574717933749,-0.001318119698878184
