run_id,arm,block,seed,consumed_budget,num_invalid,num_duplicate,num_failed,num_unique,selected_val_logloss,test_logloss,test_auc,test_accuracy,test_brier
controlled_random_b5_s1,controlled_random,5,1,25,0,2,0,23,0.721349664416775,0.7390858127129211,0.5292312382908562,0.5245,0.2672891104411908
controlled_random_b5_s2,controlled_random,5,2,25,0,0,0,25,0.7027558968229375,0.7034643974878738,0.5234664281043523,0.5145,0.2548703558957935
controlled_evolutionary_b5_s0,controlled_evolutionary,5,0,25,0,6,0,19,0.7105355749710425,0.7043702702025445,0.5301860224414392,0.522,0.2551166676354603
controlled_evolutionary_b5_s1,controlled_evolutionary,5,1,25,0,8,0,17,0.6989370214683285,0.7050373664826065,0.5357652915902773,0.5285,0.255079080179982
controlled_evolutionary_b5_s2,controlled_evolutionary,5,2,25,0,2,0,23,0.7121144560823082,0.770052382815019,0.5100914265999654,0.509,0.2789576809107384
controlled_greedy_b5_s0,controlled_greedy,5,0,25,0,0,0,25,0.7332348981499406,0.7257463647941971,0.5088869142419294,0.51,0.2648523567403971
controlled_greedy_b5_s1,controlled_greedy,5,1,25,0,4,0,21,0.7258528064108748,0.7407762532610869,0.5005405763205507,0.492,0.2708964037556265
controlled_greedy_b5_s2,controlled_greedy,5,2,25,0,2,0,23,0.720064550224668,0.7429932837685241,0.5184357586722883,0.5185,0.2702085947853245
controlled_random_b6_s0,controlled_random,6,0,25,0,1,0,24,0.6938841378650643,0.7451182602059228,0.5189943876343418,0.5165,0.2721167531268032
controlled_random_b6_s1,controlled_random,6,1,25,0,2,0,23,0.6911584771448702,0.7479497050770411,0.5019336384898363,0.508,0.274109605133252
controlled_random_b6_s2,controlled_random,6,2,25,0,0,0,25,0.7057244566635984,0.7286448744545229,0.5235998170665661,0.5295,0.26523520423785835
controlled_evolutionary_b6_s0,controlled_evolutionary,6,0,25,0,4,0,21,0.7030785985220228,0.6999582594097117,0.510701204712943,0.5055,0.2532362799041518
controlled_evolutionary_b6_s1,controlled_evolutionary,6,1,25,0,11,0,16,0.7084937255730126,0.6998795067514059,0.5237522615948105,0.5175,0.2531514696531013
controlled_evolutionary_b6_s2,controlled_evolutionary,6,2,25,0,4,0,21,0.7059968849903537,0.7515605882124573,0.49985156716986734,0.5055,0.2751779308957027
controlled_greedy_b6_s0,controlled_greedy,6,0,25,0,1,0,25,0.7051241367635853,0.7181297149207696,0.5170336701822514,0.5105,0.2612581309992071
controlled_greedy_b6_s1,controlled_greedy,6,1,25,0,1,0,24,0.7064815987746276,0.7339920862447179,0.5123490097123211,0.512,0.2677417159518374
controlled_greedy_b6_s2,controlled_greedy,6,2,25,0,2,0,23,0.6963500962465476,0.7422719072649306,0.5193253527285565,0.512,0.27064837760704014
controlled_random_b7_s0,controlled_random,7,0,25,0,1,0,24,0.6947634580836902,0.7287973166055608,0.49624304471839886,0.5085,0.2664809300930392
controlled_random_b7_s1,controlled_random,7,1,25,0,2,0,23,0.6839249200994459,0.7410682044534623,0.5099640551849193,0.5125,0.27093727213587626
controlled_random_b7_s2,controlled_random,7,2,25,0,0,0,25,0.6996381136158074,0.7094131200672135,0.5156295758431587,0.5225,0.2574976265380277
controlled_evolutionary_b7_s0,controlled_evolutionary,7,0,25,0,5,0,20,0.6851226538330673,0.7176612774995577,0.5030609256592223,0.497,0.261488607297217
controlled_evolutionary_b7_s1,controlled_evolutionary,7,1,25,0,7,0,18,0.6964492747071167,0.7024400524758537,0.5327946291385681,0.5135,0.2543605174874975
controlled_evolutionary_b7_s2,controlled_evolutionary,7,2,25,0,2,0,23,0.7002075872026008,0.6999528504832109,0.5336641647042777,0.5195,0.25306832406279883
