block,seed,baseline,total_params,test_logloss,test_auc,test_accuracy
6,0,C2_linear_svm_cal,,0.691456972937229,0.5192029959361498,0.527
6,0,C3_rbf_svm_cal,,0.6924053667769176,0.4624053740707904,0.527
6,0,C4_hist_gb,,0.709655123667206,0.5195946379643039,0.52
6,0,C5_random_forest,,0.6900664963097022,0.5294538875360553,0.5395
6,0,C6_fixed_mlp,51,0.7262307440394521,0.4998024238679991,0.5005
6,0,C7_fair_nas,61,0.7062282590390017,0.5066549057050358,0.5205
6,1,C0_majority,0,0.6916904772869695,0.5,0.527
6,1,C1_logreg,9,0.6922521293175419,0.5198899992377773,0.5175
6,1,C2_linear_svm_cal,,0.691456972937229,0.5192029959361498,0.527
6,1,C3_rbf_svm_cal,,0.6924053667769176,0.4624053740707904,0.527
6,1,C4_hist_gb,,0.709655123667206,0.5195946379643039,0.52
6,1,C5_random_forest,,0.6900664963097022,0.5294538875360553,0.5395
6,1,C6_fixed_mlp,51,0.7055606532135562,0.5407377913997216,0.5255
6,1,C7_fair_nas,41,0.6982936286601517,0.5182893316912116,0.5105
6,2,C0_majority,0,0.6916904772869695,0.5,0.527
6,2,C1_logreg,9,0.6922521293175419,0.5198899992377773,0.5175
6,2,C2_linear_svm_cal,,0.691456972937229,0.5192029959361498,0.527
6,2,C3_rbf_svm_cal,,0.6924053667769176,0.4624053740707904,0.527
6,2,C4_hist_gb,,0.709655123667206,0.5195946379643039,0.52
6,2,C5_random_forest,,0.6900664963097022,0.5294538875360553,0.5395
6,2,C6_fixed_mlp,51,0.7087904368515464,0.5120701966935585,0.5105
6,2,C7_fair_nas,51,0.6973516478397916,0.505136979432024,0.526
7,0,C0_majority,0,0.6916904772869695,0.5,0.527
7,0,C1_logreg,9,0.6968429602439287,0.5152364294282127,0.511
7,0,C2_linear_svm_cal,,0.6921571109397336,0.501139322263721,0.528
7,0,C3_rbf_svm_cal,,0.6909094978523135,0.522946913198888,0.531
7,0,C4_hist_gb,,0.7143568640435871,0.5151561954659788,0.512
7,0,C5_random_forest,,0.7103756127089755,0.5198177886717669,0.524
7,0,C6_fixed_mlp,51,0.727319721664769,0.5165302020692338,0.5175
7,0,C7_fair_nas,61,0.6942854181253028,0.5281139803667494,0.527
7,1,C0_majority,0,0.6916904772869695,0.5,0.527
7,1,C1_logreg,9,0.6968429602439287,0.5152364294282127,0.511
7,1,C2_linear_svm_cal,,0.6921571109397336,0.501139322263721,0.528
7,1,C3_rbf_svm_cal,,0.6909094978523135,0.522946913198888,0.531
7,1,C4_hist_gb,,0.7143568640435871,0.5151561954659788,0.512
7,1,C5_random_forest,,0.7103756127089755,0.5198177886717669,0.524
7,1,C6_fixed_mlp,51,0.7249453744644432,0.5118264860332731,0.5125
7,1,C7_fair_nas,41,0.7034119029798747,0.5186905015023809,0.5235
7,2,C0_majority,0,0.6916904772869695,0.5,0.527
7,2,C1_logreg,9,0.6968429602439287,0.5152364294282127,0.511
7,2,C2_linear_svm_cal,,0.6921571109397336,0.501139322263721,0.528
7,2,C3_rbf_svm_cal,,0.6909094978523135,0.522946913198888,0.531
7,2,C4_hist_gb,,0.7143568640435871,0.5151561954659788,0.512
7,2,C5_random_forest,,0.7103756127089755,0.5198177886717669,0.524
7,2,C6_fixed_mlp,51,0.706913388418863,0.5201728239546518,0.5085
7,2,C7_fair_nas,41,0.698005761621824,0.5214665965956731,0.516
8,0,C0_majority,0,0.6916904772869695,0.5,0.527
8,0,C1_logreg,9,0.696935841145871,0.5114132811277685,0.5125
8,0,C2_linear_svm_cal,,0.6915796888942579,0.5071939776387948,0.522
8,0,C3_rbf_svm_cal,,0.6919146179901916,0.50432260471535,0.521
8,0,C4_hist_gb,,0.7339196904440637,0.5140860749946845,0.517
8,0,C5_random_forest,,0.6980718605442968,0.5103281167885554,0.525
8,0,C6_fixed_mlp,51,0.7431684880545201,0.507414621034938,0.5125
8,0,C7_fair_nas,55,0.691688471904144,0.5,0.527
8,1,C0_majority,0,0.6916904772869695,0.5,0.527
8,1,C1_logreg,9,0.696935841145871,0.5114132811277685,0.5125
8,1,C2_linear_svm_cal,,0.6915796888942579,0.5071939776387948,0.522
8,1,C3_rbf_svm_cal,,0.6919146179901916,0.50432260471535,0.521
8,1,C4_hist_gb,,0.7339196904440637,0.5140860749946845,0.517
8,1,C5_random_forest,,0.6980718605442968,0.5103281167885554,0.525
8,1,C6_fixed_mlp,51,0.764070781362139,0.5138523935796784,0.518
8,1,C7_fair_nas,55,0.691709078246959,0.5,0.527
8,2,C0_majority,0,0.6916904772869695,0.5,0.527
8,2,C1_logreg,9,0.696935841145871,0.5114132811277685,0.5125
8,2,C2_linear_svm_cal,,0.6915796888942579,0.5071939776387948,0.522
8,2,C3_rbf_svm_cal,,0.6919146179901916,0.50432260471535,0.521
8,2,C4_hist_gb,,0.7339196904440637,0.5140860749946845,0.517
8,2,C5_random_forest,,0.6980718605442968,0.5103281167885554,0.525
8,2,C6_fixed_mlp,51,0.7526818275822484,0.49205984651243023,0.496
8,2,C7_fair_nas,55,0.6956719914645414,0.5118024158446028,0.517
9,0,C0_majority,0,0.6916904772869695,0.5,0.527
9,0,C1_logreg,9,0.6945278254566581,0.5145815197114786,0.5305
9,0,C2_linear_svm_cal,,0.6917445351980587,0.49691600707663547,0.5275
9,0,C3_rbf_svm_cal,,0.6864702795814682,0.5690002045966037,0.5565
9,0,C4_hist_gb,,0.7081280654684381,0.5507956200280016,0.549
9,0,C5_random_forest,,0.6916815806657656,0.5495575096982801,0.537
9,0,C6_fixed_mlp,51,0.7209106377173548,0.5450172703603708,0.5365
9,0,C7_fair_nas,55,0.6916884719465611,0.5,0.527
9,1,C0_majority,0,0.6916904772869695,0.5,0.527
9,1,C1_logreg,9,0.6945278254566581,0.5145815197114786,0.5305
9,1,C2_linear_svm_cal,,0.6917445351980587,0.49691600707663547,0.5275
9,1,C3_rbf_svm_cal,,0.6864702795814682,0.5690002045966037,0.5565
9,1,C4_hist_gb,,0.7081280654684381,0.5507956200280016,0.549
9,1,C5_random_forest,,0.6916815806657656,0.5495575096982801,0.537
9,1,C6_fixed_mlp,51,0.732260204997448,0.5246017386699616,0.5205
9,1,C7_fair_nas,60,0.6917212982996801,0.5,0.527
9,2,C0_majority,0,0.6916904772869695,0.5,0.527
9,2,C1_logreg,9,0.6945278254566581,0.5145815197114786,0.5305
9,2,C2_linear_svm_cal,,0.6917445351980587,0.49691600707663547,0.5275
9,2,C3_rbf_svm_cal,,0.6864702795814682,0.5690002045966037,0.5565
9,2,C4_hist_gb,,0.7081280654684381,0.5507956200280016,0.549
9,2,C5_random_forest,,0.6916815806657656,0.5495575096982801,0.537
9,2,C6_fixed_mlp,51,0.7124275133401045,0.5568347300728926,0.555
9,2,C7_fair_nas,55,0.6917370318150236,0.5,0.527
