block,structural_hash,depth,two_qubit_gate_count,total_trainable_params,val_logloss,transpiled_two_qubit,transpiled_depth,wall_clock_seconds
0,34f123fd3ec6,13,8,53,0.8267764382440289,26,34,3.0562
0,35db80de5ba2,5,0,53,0.7572566315393786,0,5,2.4045
0,35db80de5ba2,5,0,53,0.7669741167280086,0,5,2.4708
0,36e0aabc6199,13,10,53,0.7760389289112132,29,36,2.7979
0,39d826a64d6e,12,8,53,0.7569973188781001,30,36,3.0166
0,3b7c3105dcd1,4,0,53,0.7720990254365233,0,4,2.2013
0,3bdb74a459a0,7,3,53,0.7753254902684253,6,12,2.3662
0,3dad662f670d,7,3,53,0.7877732177655907,3,7,2.3267
0,3f5bed41314d,12,7,53,0.7912683339757832,19,29,3.0065
0,424f11391ed6,7,3,53,0.7916261680401162,3,7,2.349
0,43e4afecd68d,12,10,53,0.7440790503180459,18,22,3.5639
0,45ed1a6625f4,13,11,53,0.76600924595171,38,45,2.8679
0,48affc77a385,9,6,53,0.7638960083584712,6,15,2.8575
0,48e43dbde2d4,5,0,53,0.7655723163686408,0,5,2.5399
0,4a6e97ef8a28,9,7,53,0.8062813377871565,15,19,2.5787
0,4a81dc62cff5,10,7,53,0.756875323295699,19,28,2.6331
0,4b0a53601342,10,7,53,0.7599973829174104,23,29,2.6402
0,4b8bfdff4376,13,10,53,0.7728548027929533,30,35,2.8996
0,4d48c3c0d230,13,11,53,0.7614277721793787,38,45,2.8599
0,4da117fd5f9e,9,4,53,0.8297082962099044,10,17,2.7464
0,4f9dffb9a3c0,10,4,53,0.7653734784819515,10,17,3.0277
0,505e705e80b3,10,8,53,0.7467952225737726,30,36,2.6195
0,51a5bc9056e2,10,4,53,0.8136845885038361,10,17,3.0354
0,52143ae4ac4b,7,4,53,0.8278145200446778,14,20,2.4373
0,529f94be7b94,13,10,53,0.7609902727407891,30,33,2.7124
0,5434f6036ce1,8,4,53,0.8171366383697394,10,14,2.3797
0,57042f8c2ffb,12,7,53,0.8195759318092316,16,24,2.8833
0,581655648b3f,14,11,53,0.7086395410449748,36,43,2.8845
0,5c8acd9c9626,13,10,53,0.7924043489166398,26,32,3.0916
0,5ca6aa610441,11,9,53,0.8453474480486327,9,16,2.8689
0,5f60874932a6,4,0,53,0.7157134960156429,0,4,2.2292
0,61c04d782603,7,4,53,0.7740603274139262,12,17,2.4475
0,61d8ee298451,14,12,53,0.8223793799731296,44,40,3.5234
0,64748b697657,19,17,53,0.742497766526059,59,69,3.4946
0,65d0a0a3e17f,5,0,53,0.7719200080024118,0,5,2.4229
0,660686604c65,10,6,53,0.7820216328755571,15,24,2.7122
0,6a4e45974819,8,3,53,0.8087556823139869,3,8,2.6044
0,6a9bbb003481,14,11,53,0.7725115565020005,29,35,3.0681
0,6bced5a08fbb,7,3,53,0.7907760054473315,6,10,2.2552
0,6c00e79bfcbd,11,7,53,0.7944439301804532,19,26,2.9124
0,6c06e2848b17,11,6,53,0.7920942597695588,12,23,2.7114
0,6c1699daf1ec,16,15,53,0.8170686505410653,47,47,2.9906
0,6c71145ed992,8,4,53,0.766444752148386,10,13,2.3868
0,6d747449c8c6,13,11,53,0.7319964524042527,34,37,3.1285
0,6dd137af510f,7,3,53,0.7670290989038948,6,16,2.4902
0,6df3d7537ca4,7,4,53,0.7416225130047664,12,17,2.373
0,6df3d7537ca4,7,4,53,0.7435435727531059,12,17,2.4428
0,6e06b1ddc9fb,11,8,53,0.8075111096094016,24,27,2.5772
0,6eba4712bc4f,8,4,53,0.7538742165065664,10,16,2.5501
0,712d8aea6e74,15,12,53,0.8098071050504254,44,43,2.9346
0,7287e38b454c,18,15,53,0.7538799137026417,50,61,3.6474
0,740abe644d08,11,8,53,0.8024649736476563,30,37,2.8174
0,7623f278a174,7,4,53,0.7793897131490803,14,21,2.3889
0,772495a64140,7,4,53,0.7366238175070826,14,20,2.5628
0,772495a64140,7,4,53,0.7967091321510914,14,20,2.4838
0,7e428a0a1e55,13,11,53,0.794714609193192,36,43,2.8641
0,7f3aed384f51,4,0,53,0.7987287194883054,0,4,2.198
