split,structural_hash,encoding_type,n_qubits,depth,gate_count,two_qubit_gate_count,embed_params,quantum_params,head_params,total_trainable_params,val_rmse,wall_clock_seconds
0,5a433251a78f,angle,4,9,19,7,88,12,5,105,0.03367992818029474,0.8228
0,5acab7ae27f6,angle,4,16,26,14,88,12,5,105,0.02333468834659926,1.0387
0,5ae60acbe778,angle,4,11,25,9,88,12,5,105,0.023827312068529796,1.0471
0,5b0b67d65323,angle,4,14,25,13,88,12,5,105,0.025829157317549246,1.0636
0,5bb14f486e18,angle,4,11,23,7,88,12,5,105,0.02839893077755717,1.1124
0,5bef1bed9a63,angle,4,13,26,10,88,12,5,105,0.026759325341393622,1.1358
0,5c110cd4d3ad,angle,4,13,23,11,88,12,5,105,0.033298253092539865,0.9242
0,5c4be7d0867a,angle,4,14,20,12,88,12,5,105,0.0394632614502331,1.0773
0,5c8acd9c9626,angle,4,13,26,10,88,12,5,105,0.025270210923770867,0.9933
0,5d59ab539dcc,angle,4,13,28,8,88,12,5,105,0.021665297025196477,1.0816
0,5d8550d26de7,angle,4,14,26,10,88,12,5,105,0.026597341649589323,0.97
0,5e2924b6db7f,angle,4,10,23,7,88,12,5,105,0.03126437907383874,0.9841
0,5edd8b055e68,angle,4,7,16,4,88,12,5,105,0.02124666517170958,0.8057
0,5edd8b055e68,angle,4,7,16,4,88,12,5,105,0.025695605350021362,0.7525
0,5f60874932a6,angle,4,4,16,0,88,12,5,105,0.03721887374116789,0.7638
0,5f6bce97f969,angle,4,11,20,8,88,12,5,105,0.021544187949395582,0.9621
0,5f884ab719a4,angle,4,14,27,11,88,12,5,105,0.031119944997770238,0.9396
0,6075780720d8,angle,4,8,20,4,88,12,5,105,0.02144274681720331,0.8209
0,6075780720d8,angle,4,8,20,4,88,12,5,105,0.024801171376593555,0.77
0,6075780720d8,angle,4,8,20,4,88,12,5,105,0.025131913390436588,0.7934
0,6075780720d8,angle,4,8,20,4,88,12,5,105,0.02129444559804066,0.7802
0,60a8006fddac,angle,4,7,16,4,88,12,5,105,0.04580003463249992,0.8092
0,60cdb38dbb38,angle,4,9,19,7,88,12,5,105,0.024520191780274706,0.9132
