pair,block,seed,entangled_logloss,product_logloss,depth_diff,param_count_preserved,diff_product_minus_entangled
16,6,0,0.7135305031247776,0.7135305031247778,3,True,2.220446049250313e-16
16,6,1,0.7273815286299693,0.7273815286299693,3,True,0.0
17,6,0,0.6971627825126966,0.6971627825126966,3,True,0.0
17,6,1,0.6990092691302241,0.6990092691302241,3,True,0.0
18,6,0,0.7406604510684484,0.7175456068791973,3,True,-0.023114844189251027
18,6,1,0.7505667167398626,0.7133176159629231,3,True,-0.03724910077693955
19,6,0,0.7621061404513857,0.728241961657473,3,True,-0.03386417879391268
19,6,1,0.7436265440271964,0.7222634659171697,3,True,-0.02136307811002669
0,7,0,0.7448870510994371,0.727796035727697,3,True,-0.01709101537174007
0,7,1,0.7322639543771394,0.7209893204480808,3,True,-0.011274633929058586
1,7,0,0.7501417559678937,0.7225958477754455,6,True,-0.027545908192448176
1,7,1,0.7573436322998268,0.7564276834057645,6,True,-0.0009159488940623239
2,7,0,0.7421485609597502,0.718311655240453,3,True,-0.023836905719297197
2,7,1,0.7172751637816223,0.7163511202116031,3,True,-0.000924043570019184
3,7,0,0.7117766544037895,0.7117766544037895,6,True,0.0
3,7,1,0.7209959759528091,0.7209959759528091,6,True,0.0
4,7,0,0.7377821160575984,0.7487513018326538,3,True,0.010969185775055457
4,7,1,0.7282510531566699,0.7412788635974279,3,True,0.013027810440757959
5,7,0,0.707657350313428,0.7059410557608824,3,True,-0.0017162945525456275
5,7,1,0.7135387273131232,0.7087924144398751,3,True,-0.004746312873248115
6,7,0,0.732247775600251,0.7093461945234344,3,True,-0.022901581076816613
6,7,1,0.7464023728812534,0.7099166504089158,3,True,-0.03648572247233761
7,7,0,0.7525577553695711,0.7027374641275991,6,True,-0.04982029124197207
7,7,1,0.7214097006493706,0.7104562089557701,6,True,-0.010953491693600492
8,7,0,0.6976498601861422,0.6976498601861422,3,True,0.0
8,7,1,0.7163977462435388,0.7163977462435387,3,True,-1.1102230246251565e-16
9,7,0,0.7230587437835222,0.7214254033826858,3,True,-0.0016333404008364028
9,7,1,0.7159228010806864,0.7323392151516518,3,True,0.01641641407096539
10,7,0,0.743200702108538,0.7566321626224263,3,True,0.013431460513888327
10,7,1,0.7250650218926473,0.7095396581031368,3,True,-0.015525363789510527
11,7,0,0.7091074683047731,0.7234870042207324,3,True,0.014379535915959307
11,7,1,0.7037612596016907,0.7083575208049948,3,True,0.004596261203304142
12,7,0,0.7430358945240816,0.7413259001102173,3,True,-0.0017099944138643242
12,7,1,0.7539935258463061,0.7424657425562923,3,True,-0.011527783290013804
13,7,0,0.7925352653402996,0.7183254945247116,3,True,-0.074209770815588
13,7,1,0.7404348178061244,0.7071528900157102,3,True,-0.03328192779041417
14,7,0,0.729870607127799,0.7358228143295594,6,True,0.005952207201760373
