pair,block,seed,entangled_logloss,product_logloss,depth_diff,param_count_preserved,diff_product_minus_entangled
14,7,1,0.7196686128590247,0.7220999688529113,6,True,0.0024313559938865525
15,7,0,0.7399151047392577,0.7399151047392577,9,True,0.0
15,7,1,0.7249780753230872,0.7249780753230872,9,True,0.0
16,7,0,0.7311493421878633,0.7311493421878633,3,True,0.0
16,7,1,0.7486526626352351,0.748652662635235,3,True,-1.1102230246251565e-16
17,7,0,0.7298110194983887,0.7298110194983888,3,True,1.1102230246251565e-16
17,7,1,0.7045814611911697,0.70458146119117,3,True,3.3306690738754696e-16
18,7,0,0.739106987836326,0.7256642054608635,3,True,-0.013442782375462481
18,7,1,0.758133961958638,0.7336246258521214,3,True,-0.02450933610651662
19,7,0,0.757442180834207,0.720260030012877,3,True,-0.03718215082133003
19,7,1,0.7293237478167105,0.7215409513471309,3,True,-0.007782796469579578
0,8,0,0.7462022982159766,0.7274901886636269,3,True,-0.0187121095523497
0,8,1,0.7351326645321313,0.7407916104606872,3,True,0.00565894592855587
1,8,0,0.7840436632175546,0.7614807455987209,6,True,-0.022562917618833667
1,8,1,0.7720250926008915,0.7776131371904765,6,True,0.005588044589585062
2,8,0,0.7710441998868063,0.7847520651222543,3,True,0.01370786523544798
2,8,1,0.7719151691192373,0.7302729886297402,3,True,-0.04164218048949708
3,8,0,0.7472225473513634,0.747222547351363,6,True,-4.440892098500626e-16
3,8,1,0.7197244217481261,0.7197244217481261,6,True,0.0
4,8,0,0.7496156140248748,0.7422274521745994,3,True,-0.007388161850275354
4,8,1,0.7374285846530281,0.7289380418601813,3,True,-0.008490542792846778
5,8,0,0.748426188438009,0.7296726839262841,3,True,-0.01875350451172486
5,8,1,0.7209563746564854,0.725805410808146,3,True,0.004849036151660546
6,8,0,0.7805398497720392,0.7440632548671131,3,True,-0.03647659490492605
6,8,1,0.7770437345699744,0.7365514183500433,3,True,-0.0404923162199311
7,8,0,0.737159453056754,0.742109486612533,6,True,0.004950033555778943
7,8,1,0.7449320924165501,0.7551084033126363,6,True,0.010176310896086171
8,8,0,0.7311565105101626,0.7311565105101625,3,True,-1.1102230246251565e-16
8,8,1,0.7617405616703476,0.7617405616703476,3,True,0.0
9,8,0,0.7714712759356949,0.7290102899514523,3,True,-0.04246098598424253
9,8,1,0.7453467306044713,0.7504558085208387,3,True,0.005109077916367388
10,8,0,0.7484131164575485,0.7624651276703598,3,True,0.0140520112128113
10,8,1,0.7281186641678198,0.7226577643795346,3,True,-0.005460899788285234
11,8,0,0.7342345583762533,0.762468989073859,3,True,0.028234430697605672
11,8,1,0.7232231930986266,0.7670921640403495,3,True,0.04386897094172293
12,8,0,0.775385198806953,0.7480796632867663,3,True,-0.027305535520186663
12,8,1,0.7444295994279231,0.7484802747999968,3,True,0.004050675372073709
13,8,0,0.7846286443476922,0.736565763843462,3,True,-0.04806288050423024
13,8,1,0.7541224184000094,0.7358952675243452,3,True,-0.018227150875664178
14,8,0,0.7482444949261412,0.7505788146041465,6,True,0.0023343196780053477
14,8,1,0.7333813105157785,0.7497390964791932,6,True,0.01635778596341475
15,8,0,0.7234660429292392,0.7234660429292392,9,True,0.0
15,8,1,0.7206017536886196,0.7206017536886196,9,True,0.0
16,8,0,0.747090704196614,0.747090704196614,3,True,0.0
16,8,1,0.7657571754594575,0.7657571754594573,3,True,-2.220446049250313e-16
17,8,0,0.7119767441982233,0.7119767441982232,3,True,-1.1102230246251565e-16
17,8,1,0.7189276193947538,0.7189276193947539,3,True,1.1102230246251565e-16
18,8,0,0.7362305962894776,0.7778819185013086,3,True,0.04165132221183099
18,8,1,0.7595277017427878,0.7250538963756091,3,True,-0.0344738053671787
19,8,0,0.7456010020584727,0.7317851450611158,3,True,-0.013815856997356879
19,8,1,0.7495984774642364,0.7558510921576335,3,True,0.006252614693397107
0,9,0,0.7655931462196754,0.7370032043253875,3,True,-0.028589941894287985
0,9,1,0.7400023672345057,0.7122239701729138,3,True,-0.02777839706159191
1,9,0,0.7463970829289996,0.7416812124046822,6,True,-0.004715870524317434
1,9,1,0.7386748087570191,0.7255239594689628,6,True,-0.013150849288056321
2,9,0,0.7240090086389283,0.7061682034400517,3,True,-0.01784080519887654
2,9,1,0.7297907668102639,0.7111172440203286,3,True,-0.018673522789935282
3,9,0,0.6976241718048056,0.6976241718048056,6,True,0.0
3,9,1,0.699281958807314,0.699281958807314,6,True,0.0
4,9,0,0.7334970145485743,0.7222201322246532,3,True,-0.0112768823239211
4,9,1,0.7565957960527119,0.7282052721662721,3,True,-0.02839052388643981
