structural_hash,encoding_type,n_qubits,encoding_inputs,n_measurements,depth,gate_count,two_qubit_gate_count,embed_params,quantum_params,head_params,total_trainable_params,val_rmse,wall_clock_seconds,train_seed
c37410d1ad63,angle,4,4,4,10,19,7,88,12,5,105,0.030167422698473383,0.9647,4187276492
c4117f5baf3a,angle,4,4,4,11,23,7,88,12,5,105,0.01764710780482687,1.0915,3573141108
c41711c2a15d,angle,4,4,4,15,27,11,88,12,5,105,0.027093992394360483,1.2095,82592372
c42e90890b00,angle,4,4,4,14,27,11,88,12,5,105,0.015891325059142588,1.039,2313146269
c527d4e4bea6,angle,4,4,4,5,20,0,88,12,5,105,0.032524189678709,0.761,3091529070
c7e02d89194a,angle,4,4,4,10,26,6,88,12,5,105,0.020494635294309616,0.9124,354082508
c7f863da692b,angle,4,4,4,12,19,11,88,12,5,105,0.02516049320287197,0.9339,2766682794
c90a530e4042,angle,4,4,4,7,16,4,88,12,5,105,0.028669675689797863,0.7775,1549788985
cc7ef5e32419,angle,4,4,4,10,16,8,88,12,5,105,0.032596209651503706,0.8934,2536073374
cd34855b8f3d,angle,4,4,4,13,26,10,88,12,5,105,0.015591128397009688,0.9126,1332531535
cd37acc331a2,angle,4,4,4,13,22,10,88,12,5,105,0.03121112276582303,0.8929,3699549972
cd763c399386,angle,4,4,4,10,19,7,88,12,5,105,0.0286386927433695,0.9049,1981775216
cd83f6e9cb10,angle,4,4,4,10,28,4,88,12,5,105,0.019895725954787963,1.0522,2867779520
cda62859235e,angle,4,4,4,13,26,10,88,12,5,105,0.01679131100937412,0.9883,2436045704
ce0d4d1fefd4,angle,4,4,4,12,26,10,88,12,5,105,0.01769155241780024,1.0158,599842680
ce2203b998be,angle,4,4,4,10,23,7,88,12,5,105,0.02703012990846712,1.0075,1789560085
