experiment,task,n_qubits,arm,replicate,data_seed,search_seed,budget_unique,val_metric_name,val_metric_value,primary_test_metric,primary_test_value,test_rmse,test_mae,test_auc,test_brier,num_proposed,num_valid,num_invalid,num_duplicate,num_failed,num_unique,stop_reason,logical_gate_count,logical_depth,two_qubit_count,parameter_count,transpiled_depth_line,transpiled_2q_line,llm_calls,llm_tokens,llm_cost_usd,llm_mock,model_snapshot
E3,sin_freq,3,evolutionary_structure,2,1002,2002,16,rmse,0.08339775836029838,test_rmse,0.09102535111914872,0.09102535111914872,0.07014959077917804,,,18,16,0,2,0,16,budget_exhausted,13,9,6,9,55,15,,,,,
E3,sin_freq,3,evolutionary_structure,3,1003,2003,16,rmse,0.09164087593692359,test_rmse,0.0865133579349766,0.0865133579349766,0.06608497884329376,,,17,16,0,1,0,16,budget_exhausted,12,11,10,10,59,27,,,,,
E3,sin_freq,3,evolutionary_structure,4,1004,2004,16,rmse,0.12224746783095253,test_rmse,0.11710809490698305,0.11710809490698305,0.09264882799089015,,,19,16,0,3,0,16,budget_exhausted,12,10,7,9,58,18,,,,,
E3,sin_freq,3,random_structure,0,1000,2000,16,rmse,0.13496277996620426,test_rmse,0.1319806744775414,0.1319806744775414,0.10268280278418165,,,16,16,0,0,0,16,budget_exhausted,7,5,2,6,21,4,,,,,
E3,sin_freq,3,random_structure,1,1001,2001,16,rmse,0.10203039067457916,test_rmse,0.10237225325333699,0.10237225325333699,0.07962409960327864,,,16,16,0,0,0,16,budget_exhausted,14,10,7,11,39,13,,,,,
E3,sin_freq,3,random_structure,2,1002,2002,16,rmse,0.06468517746438641,test_rmse,0.06592407672319431,0.06592407672319431,0.051661610585475665,,,16,16,0,0,0,16,budget_exhausted,17,11,7,14,63,18,,,,,
E3,sin_freq,3,random_structure,3,1003,2003,16,rmse,0.07490676095500909,test_rmse,0.07511533191755908,0.07511533191755908,0.05674352658424347,,,16,16,0,0,0,16,budget_exhausted,13,8,3,9,21,6,,,,,
E3,sin_freq,3,random_structure,4,1004,2004,16,rmse,0.13155207881224543,test_rmse,0.12709004416006334,0.12709004416006334,0.09753043811452805,,,16,16,0,0,0,16,budget_exhausted,15,10,7,10,40,20,,,,,
E3,sin_freq,3,ref_strongent_d2,0,1000,2000,16,rmse,0.055399702413171124,test_rmse,0.05730112619242601,0.05730112619242601,0.04329844340470369,,,1,1,0,0,0,1,arm_exhausted,25,13,6,18,30,12,,,,,
E3,sin_freq,3,ref_strongent_d2,1,1001,2001,16,rmse,0.07245028703331986,test_rmse,0.08108020227418375,0.08108020227418375,0.06111318352054902,,,1,1,0,0,0,1,arm_exhausted,25,13,6,18,30,12,,,,,
E3,sin_freq,3,ref_strongent_d2,2,1002,2002,16,rmse,0.06488357057390887,test_rmse,0.06663646896647028,0.06663646896647028,0.051895310796925886,,,1,1,0,0,0,1,arm_exhausted,25,13,6,18,30,12,,,,,
E3,sin_freq,3,ref_strongent_d2,3,1003,2003,16,rmse,0.08357692184294423,test_rmse,0.07753053679467613,0.07753053679467613,0.058938339841645176,,,1,1,0,0,0,1,arm_exhausted,25,13,6,18,30,12,,,,,
E3,sin_freq,3,ref_strongent_d2,4,1004,2004,16,rmse,0.07894457302453134,test_rmse,0.06990808249482465,0.06990808249482465,0.051903635790628205,,,1,1,0,0,0,1,arm_exhausted,25,13,6,18,30,12,,,,,
E3,sin_freq,4,evolutionary_structure,0,1000,2000,16,rmse,0.0807254524870761,test_rmse,0.08553593733791004,0.08553593733791004,0.06107863629502055,,,19,16,0,3,0,16,budget_exhausted,20,12,11,11,60,27,,,,,
E3,sin_freq,4,evolutionary_structure,1,1001,2001,16,rmse,0.07900327087389855,test_rmse,0.07690010382284401,0.07690010382284401,0.05430965840094652,,,16,16,0,0,0,16,budget_exhausted,31,17,15,24,102,48,,,,,
E3,sin_freq,4,evolutionary_structure,2,1002,2002,16,rmse,0.08627359330780884,test_rmse,0.09065248142700043,0.09065248142700043,0.07239733127740783,,,19,16,0,3,0,16,budget_exhausted,20,13,13,11,80,41,,,,,
E3,sin_freq,4,evolutionary_structure,3,1003,2003,16,rmse,0.06767537065160532,test_rmse,0.07983057556400472,0.07983057556400472,0.05413154783529544,,,17,16,0,1,0,16,budget_exhausted,31,16,12,22,138,48,,,,,
E3,sin_freq,4,evolutionary_structure,4,1004,2004,16,rmse,0.08190855395293205,test_rmse,0.09181572574135777,0.09181572574135777,0.06784066689881357,,,16,16,0,0,0,16,budget_exhausted,21,15,12,12,101,46,,,,,
