pair,split,seed,entangled_bae,product_bae,entangled_two_qubit,gate_count_mismatch,param_count_preserved,diff_product_minus_entangled
17,1,1,0.04246031746031753,0.028174603174603186,8,0,True,-0.014285714285714346
17,1,2,0.028174603174603186,0.04246031746031753,8,0,True,0.014285714285714346
18,1,0,0.028174603174603186,0.028174603174603186,11,-1,True,0.0
18,1,1,0.028174603174603186,0.028174603174603186,11,-1,True,0.0
18,1,2,0.028174603174603186,0.028174603174603186,11,-1,True,0.0
19,1,0,0.028174603174603186,0.014285714285714235,3,-1,True,-0.01388888888888895
19,1,1,0.014285714285714235,0.028174603174603186,3,-1,True,0.01388888888888895
19,1,2,0.028174603174603186,0.028174603174603186,3,-1,True,0.0
0,2,0,0.05634920634920637,0.05634920634920637,7,-1,True,0.0
0,2,1,0.05634920634920637,0.05634920634920637,7,-1,True,0.0
0,2,2,0.05634920634920637,0.05634920634920637,7,-1,True,0.0
1,2,0,0.04246031746031753,0.02857142857142858,14,-2,True,-0.01388888888888895
1,2,1,0.02857142857142858,0.02857142857142858,14,-2,True,0.0
1,2,2,0.028174603174603186,0.042063492063492136,14,-2,True,0.01388888888888895
2,2,0,0.042063492063492136,0.042063492063492136,19,-1,True,0.0
2,2,1,0.05634920634920637,0.05634920634920637,19,-1,True,0.0
2,2,2,0.05634920634920637,0.042063492063492136,19,-1,True,-0.014285714285714235
3,2,0,0.042063492063492136,0.05634920634920637,3,-1,True,0.014285714285714235
3,2,1,0.05634920634920637,0.05634920634920637,3,-1,True,0.0
3,2,2,0.05634920634920637,0.05634920634920637,3,-1,True,0.0
4,2,0,0.05634920634920637,0.05634920634920637,11,-1,True,0.0
4,2,1,0.042063492063492136,0.04246031746031753,11,-1,True,0.0003968253968253954
4,2,2,0.04246031746031753,0.04246031746031753,11,-1,True,0.0
5,2,0,0.014285714285714235,0.04246031746031753,7,-1,True,0.028174603174603297
5,2,1,0.05634920634920637,0.04246031746031753,7,-1,True,-0.01388888888888884
5,2,2,0.05634920634920637,0.042063492063492136,7,-1,True,-0.014285714285714235
6,2,0,0.05634920634920637,0.042063492063492136,14,-2,True,-0.014285714285714235
6,2,1,0.05634920634920637,0.05634920634920637,14,-2,True,0.0
6,2,2,0.05634920634920637,0.05634920634920637,14,-2,True,0.0
7,2,0,0.02857142857142858,0.05634920634920637,7,-1,True,0.02777777777777779
7,2,1,0.042063492063492136,0.05634920634920637,7,-1,True,0.014285714285714235
7,2,2,0.02857142857142858,0.05634920634920637,7,-1,True,0.02777777777777779
8,2,0,0.05634920634920637,0.028174603174603186,14,-2,True,-0.028174603174603186
8,2,1,0.05634920634920637,0.042063492063492136,14,-2,True,-0.014285714285714235
8,2,2,0.04246031746031753,0.04246031746031753,14,-2,True,0.0
9,2,0,0.042063492063492136,0.042063492063492136,4,0,True,0.0
9,2,1,0.05634920634920637,0.05634920634920637,4,0,True,0.0
9,2,2,0.05634920634920637,0.05634920634920637,4,0,True,0.0
10,2,0,0.05634920634920637,0.05634920634920637,10,-2,True,0.0
10,2,1,0.04246031746031753,0.05634920634920637,10,-2,True,0.01388888888888884
10,2,2,0.042063492063492136,0.042063492063492136,10,-2,True,0.0
11,2,0,0.04246031746031753,0.04246031746031753,4,0,True,0.0
11,2,1,0.04246031746031753,0.04246031746031753,4,0,True,0.0
11,2,2,0.028174603174603186,0.04246031746031753,4,0,True,0.014285714285714346
12,2,0,0.04246031746031753,0.04246031746031753,7,-1,True,0.0
12,2,1,0.05634920634920637,0.042063492063492136,7,-1,True,-0.014285714285714235
12,2,2,0.05634920634920637,0.042063492063492136,7,-1,True,-0.014285714285714235
13,2,0,0.05634920634920637,0.05634920634920637,10,-2,True,0.0
13,2,1,0.028174603174603186,0.042063492063492136,10,-2,True,0.01388888888888895
13,2,2,0.05634920634920637,0.05634920634920637,10,-2,True,0.0
14,2,0,0.04246031746031753,0.04246031746031753,4,0,True,0.0
14,2,1,0.042063492063492136,0.042063492063492136,4,0,True,0.0
14,2,2,0.028174603174603186,0.5,4,0,True,0.4718253968253968
15,2,0,0.04246031746031753,0.04246031746031753,3,-1,True,0.0
15,2,1,0.04246031746031753,0.02857142857142858,3,-1,True,-0.01388888888888895
15,2,2,0.04246031746031753,0.04246031746031753,3,-1,True,0.0
16,2,0,0.05634920634920637,0.028174603174603186,18,-2,True,-0.028174603174603186
16,2,1,0.042063492063492136,0.042063492063492136,18,-2,True,0.0
16,2,2,0.042063492063492136,0.042063492063492136,18,-2,True,0.0
17,2,0,0.05634920634920637,0.042063492063492136,8,0,True,-0.014285714285714235
17,2,1,0.02857142857142858,0.02857142857142858,8,0,True,0.0
17,2,2,0.04246031746031753,0.04246031746031753,8,0,True,0.0
18,2,0,0.05634920634920637,0.05634920634920637,11,-1,True,0.0
18,2,1,0.042063492063492136,0.042063492063492136,11,-1,True,0.0
18,2,2,0.04246031746031753,0.04246031746031753,11,-1,True,0.0
19,2,0,0.05634920634920637,0.04246031746031753,3,-1,True,-0.01388888888888884
19,2,1,0.04246031746031753,0.04246031746031753,3,-1,True,0.0
19,2,2,0.5,0.05634920634920637,3,-1,True,-0.44365079365079363
0,3,0,0.02777777777777779,0.02777777777777779,7,-1,True,0.0
0,3,1,0.02777777777777779,0.02777777777777779,7,-1,True,0.0
0,3,2,0.014285714285714235,0.014285714285714235,7,-1,True,0.0
1,3,0,0.014285714285714235,0.014285714285714235,14,-2,True,0.0
1,3,1,0.01388888888888884,0.01388888888888884,14,-2,True,0.0
1,3,2,0.014285714285714235,0.01388888888888884,14,-2,True,-0.0003968253968253954
2,3,0,0.01388888888888884,0.01388888888888884,19,-1,True,0.0
2,3,1,0.01388888888888884,0.01388888888888884,19,-1,True,0.0
2,3,2,0.01388888888888884,0.01388888888888884,19,-1,True,0.0
3,3,0,0.01388888888888884,0.028174603174603186,3,-1,True,0.014285714285714346
3,3,1,0.01388888888888884,0.028174603174603186,3,-1,True,0.014285714285714346
3,3,2,0.01388888888888884,0.01388888888888884,3,-1,True,0.0
4,3,0,0.028174603174603186,0.028174603174603186,11,-1,True,0.0
4,3,1,0.01388888888888884,0.028174603174603186,11,-1,True,0.014285714285714346
4,3,2,0.028174603174603186,0.01388888888888884,11,-1,True,-0.014285714285714346
5,3,0,0.01388888888888884,0.01388888888888884,7,-1,True,0.0
5,3,1,0.02777777777777779,0.02777777777777779,7,-1,True,0.0
5,3,2,0.028174603174603186,0.028174603174603186,7,-1,True,0.0
6,3,0,0.02777777777777779,0.028174603174603186,14,-2,True,0.0003968253968253954
6,3,1,0.014285714285714235,0.014285714285714235,14,-2,True,0.0
6,3,2,0.028174603174603186,0.01388888888888884,14,-2,True,-0.014285714285714346
7,3,0,0.028174603174603186,0.01388888888888884,7,-1,True,-0.014285714285714346
7,3,1,0.01388888888888884,0.02777777777777779,7,-1,True,0.01388888888888895
7,3,2,0.01388888888888884,0.01388888888888884,7,-1,True,0.0
8,3,0,0.028174603174603186,0.01388888888888884,14,-2,True,-0.014285714285714346
8,3,1,0.01388888888888884,0.014285714285714235,14,-2,True,0.0003968253968253954
8,3,2,0.01388888888888884,0.01388888888888884,14,-2,True,0.0
9,3,0,0.01388888888888884,0.01388888888888884,4,0,True,0.0
9,3,1,0.02777777777777779,0.01388888888888884,4,0,True,-0.01388888888888895
9,3,2,0.01388888888888884,0.01388888888888884,4,0,True,0.0
10,3,0,0.028174603174603186,0.028174603174603186,10,-2,True,0.0
10,3,1,0.028174603174603186,0.028174603174603186,10,-2,True,0.0
10,3,2,0.028174603174603186,0.01388888888888884,10,-2,True,-0.014285714285714346
11,3,0,0.01388888888888884,0.01388888888888884,4,0,True,0.0
11,3,1,0.01388888888888884,0.01388888888888884,4,0,True,0.0
11,3,2,0.028174603174603186,0.0,4,0,True,-0.028174603174603186
12,3,0,0.01388888888888884,0.01388888888888884,7,-1,True,0.0
12,3,1,0.01388888888888884,0.01388888888888884,7,-1,True,0.0
12,3,2,0.01388888888888884,0.02777777777777779,7,-1,True,0.01388888888888895
13,3,0,0.01388888888888884,0.01388888888888884,10,-2,True,0.0
13,3,1,0.01388888888888884,0.01388888888888884,10,-2,True,0.0
13,3,2,0.01388888888888884,0.01388888888888884,10,-2,True,0.0
14,3,0,0.01388888888888884,0.01388888888888884,4,0,True,0.0
