run_id,arm,split,seed,consumed_budget,num_invalid,num_duplicate,num_failed,num_unique,selected_val_logloss,test_balacc_error,test_auc,test_accuracy,test_logloss,test_brier
controlled_greedy_split3_s3,controlled_greedy,3,3,25,0,1,0,25,0.04599322018090872,0.028174603174603186,0.9992063492063492,0.971830985915493,0.04084270451377291,0.011103109748840462
controlled_greedy_split3_s4,controlled_greedy,3,4,25,0,2,0,23,0.0394325306678508,0.01388888888888884,0.9992063492063492,0.9859154929577465,0.03922410230591158,0.01124608218569871
controlled_greedy_split3_s5,controlled_greedy,3,5,25,0,1,0,25,0.03621624265961389,0.01388888888888884,1.0,0.9859154929577465,0.030434863823458426,0.008226957235286762
controlled_random_split4_s0,controlled_random,4,0,25,0,1,0,24,0.04486385719951469,0.014285714285714235,1.0,0.9859154929577465,0.048280555529103805,0.011139792923937533
controlled_random_split4_s1,controlled_random,4,1,25,0,2,0,23,0.04274727639040204,0.04285714285714293,1.0,0.9577464788732394,0.0655159317602248,0.02047641076866071
controlled_random_split4_s2,controlled_random,4,2,25,0,0,0,25,0.040037520866160206,0.04285714285714293,1.0,0.9577464788732394,0.06597697722626,0.020424691313103864
controlled_random_split4_s3,controlled_random,4,3,25,0,1,0,24,0.042004033890958886,0.014285714285714235,1.0,0.9859154929577465,0.05259297197083799,0.014546570947518583
controlled_random_split4_s4,controlled_random,4,4,25,0,0,0,25,0.04146518917389798,0.04285714285714293,1.0,0.9577464788732394,0.07102721772638347,0.022269722568885784
controlled_random_split4_s5,controlled_random,4,5,25,0,0,0,25,0.03839721065280835,0.04285714285714293,1.0,0.9577464788732394,0.06860433912890425,0.021303240739284114
controlled_evolutionary_split4_s0,controlled_evolutionary,4,0,25,0,6,0,19,0.03572598963803977,0.04285714285714293,1.0,0.9577464788732394,0.051967920374211427,0.016557632756920657
controlled_evolutionary_split4_s1,controlled_evolutionary,4,1,25,0,8,0,17,0.035782053795782164,0.05714285714285716,1.0,0.9436619718309859,0.10264140563850582,0.03572237526150356
controlled_evolutionary_split4_s2,controlled_evolutionary,4,2,25,0,8,0,17,0.040126111176251686,0.02857142857142858,1.0,0.971830985915493,0.060177613682801924,0.018384106884580663
controlled_evolutionary_split4_s3,controlled_evolutionary,4,3,25,0,6,0,19,0.04586402385736938,0.014285714285714235,1.0,0.9859154929577465,0.05470025082987712,0.014424257938064218
controlled_evolutionary_split4_s4,controlled_evolutionary,4,4,25,0,5,0,20,0.034621544569063,0.02857142857142858,1.0,0.971830985915493,0.06391525909922992,0.019024147492143543
controlled_evolutionary_split4_s5,controlled_evolutionary,4,5,25,0,4,0,21,0.03831979287293796,0.04285714285714293,1.0,0.9577464788732394,0.07514122688987454,0.02486311334663677
controlled_greedy_split4_s0,controlled_greedy,4,0,25,0,0,0,25,0.040217769292739354,0.02857142857142858,1.0,0.971830985915493,0.055845186678229464,0.01716995436472686
controlled_greedy_split4_s1,controlled_greedy,4,1,25,0,2,0,24,0.03659431956187584,0.04285714285714293,1.0,0.9577464788732394,0.07652528437868265,0.02539901885290708
controlled_greedy_split4_s2,controlled_greedy,4,2,25,0,3,0,22,0.04124982572969603,0.014285714285714235,1.0,0.9859154929577465,0.05647627740509496,0.015682340994318245
controlled_greedy_split4_s3,controlled_greedy,4,3,25,0,1,0,25,0.043123563574115654,0.014285714285714235,1.0,0.9859154929577465,0.04924106603538868,0.013437368290627957
controlled_greedy_split4_s4,controlled_greedy,4,4,25,0,5,0,20,0.04620064310569615,0.014285714285714235,1.0,0.9859154929577465,0.05016067334811125,0.01275549282844136
controlled_greedy_split4_s5,controlled_greedy,4,5,25,0,3,0,23,0.04011529588998902,0.014285714285714235,1.0,0.9859154929577465,0.06357102378711475,0.018534075713664788
