arch,split,seed,two_qubit,hash,trainable_bae,frozen_bae,diff_frozen_minus_trainable
6,3,0,6,34a287dcab,0.5,0.0,-0.5
6,3,1,6,34a287dcab,0.028174603174603186,0.04166666666666674,0.013492063492063555
6,3,2,6,34a287dcab,0.028174603174603186,0.01388888888888884,-0.014285714285714346
7,3,0,10,6d4b435a9f,0.01388888888888884,0.02777777777777779,0.01388888888888895
7,3,1,10,6d4b435a9f,0.02777777777777779,0.02777777777777779,0.0
7,3,2,10,6d4b435a9f,0.02777777777777779,0.01388888888888884,-0.01388888888888895
8,3,0,11,15ad2f058c,0.01388888888888884,0.0,-0.01388888888888884
8,3,1,11,15ad2f058c,0.02777777777777779,0.01388888888888884,-0.01388888888888895
8,3,2,11,15ad2f058c,0.02777777777777779,0.01388888888888884,-0.01388888888888895
9,3,0,3,cf6d8389ab,0.01388888888888884,0.01388888888888884,0.0
9,3,1,3,cf6d8389ab,0.01388888888888884,0.01388888888888884,0.0
9,3,2,3,cf6d8389ab,0.02777777777777779,0.01388888888888884,-0.01388888888888895
10,3,0,4,82fb2626cb,0.01388888888888884,0.01388888888888884,0.0
10,3,1,4,82fb2626cb,0.01388888888888884,0.04166666666666674,0.0277777777777779
10,3,2,4,82fb2626cb,0.01388888888888884,0.02777777777777779,0.01388888888888895
11,3,0,7,429788f685,0.01388888888888884,0.02777777777777779,0.01388888888888895
11,3,1,7,429788f685,0.028174603174603186,0.028174603174603186,0.0
11,3,2,7,429788f685,0.028174603174603186,0.01388888888888884,-0.014285714285714346
12,3,0,10,e391e0794e,0.01388888888888884,0.0,-0.01388888888888884
12,3,1,10,e391e0794e,0.01388888888888884,0.02777777777777779,0.01388888888888895
12,3,2,10,e391e0794e,0.01388888888888884,0.01388888888888884,0.0
13,3,0,4,f58e85e5f2,0.01388888888888884,0.01388888888888884,0.0
13,3,1,4,f58e85e5f2,0.01388888888888884,0.02777777777777779,0.01388888888888895
13,3,2,4,f58e85e5f2,0.02777777777777779,0.014285714285714235,-0.013492063492063555
14,3,0,0,39d61cca49,0.01388888888888884,0.01388888888888884,0.0
14,3,1,0,39d61cca49,0.01388888888888884,0.02777777777777779,0.01388888888888895
14,3,2,0,39d61cca49,0.01388888888888884,0.01388888888888884,0.0
15,3,0,6,e57263a96f,0.01388888888888884,0.01388888888888884,0.0
15,3,1,6,e57263a96f,0.01388888888888884,0.01388888888888884,0.0
15,3,2,6,e57263a96f,0.01388888888888884,0.01388888888888884,0.0
16,3,0,8,e6b930e1ec,0.028174603174603186,0.028174603174603186,0.0
16,3,1,8,e6b930e1ec,0.028174603174603186,0.042063492063492136,0.01388888888888895
16,3,2,8,e6b930e1ec,0.028174603174603186,0.01388888888888884,-0.014285714285714346
17,3,0,15,30651eac8c,0.01388888888888884,0.01388888888888884,0.0
17,3,1,15,30651eac8c,0.01388888888888884,0.02777777777777779,0.01388888888888895
17,3,2,15,30651eac8c,0.01388888888888884,0.01388888888888884,0.0
18,3,0,4,b2beed92b8,0.01388888888888884,0.014285714285714235,0.0003968253968253954
18,3,1,4,b2beed92b8,0.01388888888888884,0.01388888888888884,0.0
18,3,2,4,b2beed92b8,0.01388888888888884,0.01388888888888884,0.0
19,3,0,4,bd551d07e4,0.02777777777777779,0.02777777777777779,0.0
19,3,1,4,bd551d07e4,0.01388888888888884,0.01388888888888884,0.0
19,3,2,4,bd551d07e4,0.02777777777777779,0.0,-0.02777777777777779
0,4,0,11,4aa15215d5,0.014285714285714235,0.0,-0.014285714285714235
0,4,1,11,4aa15215d5,0.014285714285714235,0.014285714285714235,0.0
0,4,2,11,4aa15215d5,0.0,0.0,0.0
1,4,0,8,af0a201762,0.014285714285714235,0.014285714285714235,0.0
1,4,1,8,af0a201762,0.014285714285714235,0.014285714285714235,0.0
1,4,2,8,af0a201762,0.014285714285714235,0.014285714285714235,0.0
2,4,0,4,59607d3f4d,0.014285714285714235,0.0,-0.014285714285714235
2,4,1,4,59607d3f4d,0.014285714285714235,0.0,-0.014285714285714235
2,4,2,4,59607d3f4d,0.014285714285714235,0.014285714285714235,0.0
3,4,0,3,c06c9cabd3,0.014285714285714235,0.04166666666666674,0.027380952380952506
3,4,1,3,c06c9cabd3,0.02857142857142858,0.0,-0.02857142857142858
3,4,2,3,c06c9cabd3,0.0,0.01388888888888884,0.01388888888888884
4,4,0,0,80efcde460,0.014285714285714235,0.014285714285714235,0.0
4,4,1,0,80efcde460,0.014285714285714235,0.0,-0.014285714285714235
4,4,2,0,80efcde460,0.0,0.014285714285714235,0.014285714285714235
5,4,0,14,f41cafbf04,0.014285714285714235,0.0,-0.014285714285714235
5,4,1,14,f41cafbf04,0.02857142857142858,0.014285714285714235,-0.014285714285714346
5,4,2,14,f41cafbf04,0.014285714285714235,0.02777777777777779,0.013492063492063555
6,4,0,6,34a287dcab,0.014285714285714235,0.01388888888888884,-0.0003968253968253954
