split,structural_hash,depth,gate_count,two_qubit_gate_count,total_trainable_params,val_logloss,wall_clock_seconds
0,478e1528fd47,9,24,4,61,0.045815486827201685,1.2762
0,47aefa2c3b30,14,27,11,61,0.049524978745100555,1.3942
0,47e28d85dbab,9,24,4,61,0.04958751239245464,1.2988
0,481327d96cdf,7,19,3,61,0.046629145869273775,1.0557
0,4949e7289a07,16,23,15,61,0.05045069537625082,1.4916
0,49deeafd7158,14,20,12,61,0.06243131862767026,1.323
0,4a0be76e4998,11,23,7,61,0.042554442011826524,1.2485
0,4a81dc62cff5,10,19,7,61,0.06399574373512897,1.4428
0,4b0a53601342,10,19,7,61,0.052995434229651965,1.3145
0,4b4672d8aa22,7,19,3,61,0.051183665752077605,1.0932
0,4b8bfdff4376,13,26,10,61,0.05063430260838904,1.3465
0,4c7225cb0007,13,28,8,61,0.0647487798146012,1.4895
0,4da117fd5f9e,9,24,4,61,0.07129840193605963,1.2201
0,4dd29eee6719,11,25,9,61,0.037326994442726594,1.2442
0,4dde975e567e,11,23,7,61,0.056302905277389445,1.4563
0,4e7e4f9b6524,8,20,4,61,0.0170654071217413,1.1767
0,4e85a3dd8685,13,26,10,61,0.049985186528352925,1.2542
0,52143ae4ac4b,7,16,4,61,0.07599467925599905,1.2448
0,522eeb1c6417,14,27,11,61,0.044040140763553705,1.4955
0,527c3e69aa09,10,19,7,61,0.052709500016691564,1.2094
0,529f94be7b94,13,22,10,61,0.05864271979533147,1.4691
0,52ab7364db1f,16,26,14,61,0.05754818600148648,1.4469
0,53c62d7cf705,8,20,4,61,0.05922436012500963,1.1789
0,5434f6036ce1,8,20,4,61,0.03765629066733088,1.2368
0,544dc771adae,14,23,11,61,0.04620898011080231,1.4829
0,55844bffa227,15,25,13,61,0.04673007904772603,1.5447
0,57042f8c2ffb,12,27,7,61,0.045559452583376715,1.2664
0,581655648b3f,14,23,11,61,0.04751455311261855,1.3102
0,586f94ba5274,15,27,11,61,0.044833899607396574,1.4878
0,58b09840e600,15,27,11,61,0.04002531221580442,1.611
0,5a30ba13e6e1,18,25,17,61,0.06560259925504662,1.4113
0,5b0363a122df,10,22,6,61,0.049492122941189154,1.2377
0,5c110cd4d3ad,13,23,11,61,0.05369728326731758,1.345
0,5c8acd9c9626,13,26,10,61,0.03709213764562431,1.4959
0,5edd8b055e68,7,16,4,61,0.05433418915294605,1.0687
0,5f60874932a6,4,16,0,61,0.05418097905074256,1.3041
0,6075780720d8,8,20,4,61,0.0421898964990756,1.217
0,6075780720d8,8,20,4,61,0.05163022938240194,1.2661
0,60a4846f8a9a,10,23,7,61,0.03553728137309041,1.2969
0,60a8006fddac,7,16,4,61,0.048286305904092615,1.0752
0,61c04d782603,7,16,4,61,0.05212241511686712,1.1567
0,61d8ee298451,14,20,12,61,0.05404230515309045,2.1211
0,62a10d6547e4,13,26,10,61,0.048876232831689875,1.3526
0,631ea99bc43c,12,24,8,61,0.04922673384186676,1.2538
0,6366f6f86edf,14,23,11,61,0.044921193816499276,1.2477
0,63f869607023,18,27,15,61,0.038982337982921327,1.4893
0,63f91ae70bc9,13,26,10,61,0.047014525085281984,1.4013
0,64748b697657,19,25,17,61,0.05571570879945128,1.7287
0,660686604c65,10,22,6,61,0.04544259199634884,1.6574
0,6656ca701b62,15,25,13,61,0.05515885667212512,1.6175
0,6674561ca941,10,23,7,61,0.038267309908172634,1.3095
0,67d58a8439aa,4,16,0,61,0.06603113786875706,1.0717
0,686835a64baf,17,25,17,61,0.037144089261608663,1.5573
0,6b70b25284df,16,26,14,61,0.05208165756054355,1.5543
0,6b867ae6976c,7,19,3,61,0.05300990392285265,1.1617
0,6bced5a08fbb,7,19,3,61,0.08245298202698104,0.9979
0,6c06e2848b17,11,26,6,61,0.06372874572891811,1.4198
0,6c1699daf1ec,16,23,15,61,0.04248248564986216,1.4049
0,6c4a2d8330cd,12,24,8,61,0.04757086386432538,1.3918
0,6c71145ed992,8,20,4,61,0.03881543955757812,1.4395
0,6d4a3797a2a3,10,23,7,61,0.05321148317590204,1.2627
0,6d6a31ff0afd,10,19,7,61,0.05862747920728481,1.2531
0,6dd137af510f,7,19,3,61,0.044554562423552935,1.4331
0,6df3d7537ca4,7,16,4,61,0.06606110126740943,1.449
0,6f35829dac41,9,24,4,61,0.0656969190354538,1.2899
0,6f8da0858071,15,27,11,61,0.05044122518887331,1.568
0,712d8aea6e74,15,24,12,61,0.05767863985035325,1.4704
0,7153c5bd5f0c,15,27,11,61,0.04183446194580406,1.6297
0,717febe397a3,10,19,7,61,0.05155664051041959,1.254
0,72f7705457f9,15,22,14,61,0.046389368285513294,1.4237
0,7315d1d14eb3,10,23,7,61,0.039591883857047185,1.3011
0,743b25be702a,14,27,11,61,0.048073454802491894,1.7818
0,75cacab1db55,20,27,19,61,0.06399264871176295,1.4607
0,7623f278a174,7,16,4,61,0.04748995454792437,1.1079
0,7623f278a174,7,16,4,61,0.05255740138430728,1.081
0,7623f278a174,7,16,4,61,0.060153854628556234,1.1379
0,768a181bd73b,18,27,15,61,0.030786912006459864,1.9723
0,76a445e0dae1,14,23,11,61,0.04906735472928571,1.3271
0,76b30a68339d,10,23,7,61,0.020822964357508855,1.2448
0,76bb1568c531,13,26,10,61,0.03951814535414588,1.3357
0,76c74b79cb97,7,16,4,61,0.05616990466043598,1.4649
0,772495a64140,7,16,4,61,0.044471091302223736,1.1274
0,772495a64140,7,16,4,61,0.07122414876968793,1.1542
0,79fe5285be95,11,20,8,61,0.05660535885119885,1.3051
0,7aa4385c2757,14,20,12,61,0.08698601528847724,1.3282
0,7e428a0a1e55,13,19,11,61,0.025992173334194197,1.4058
0,7e7c0dfe1a74,11,20,8,61,0.05498143947239425,1.2725
0,7f3aed384f51,4,16,0,61,0.05044131315535705,1.074
0,7fe64746228a,12,24,8,61,0.05334105658880313,1.4351
0,8003fa6cf58d,13,26,10,61,0.0429917461280452,1.7177
0,80efcde460dd,4,16,0,61,0.05401094131504211,1.0045
0,81210e06c13b,8,20,4,61,0.03553425820307746,1.1464
