split,seed,baseline,total_params,balanced_accuracy_error,accuracy,auc,logloss
3,0,C5_fixed_mlp,49,0.5,0.5070422535211268,0.515079365079365,0.6932553081429859
3,0,C6_fair_nas,97,0.01388888888888884,0.9859154929577465,1.0,0.07663893985671895
3,1,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
3,1,C1_logreg,11,0.01388888888888884,0.9859154929577465,1.0,0.04248872065880264
3,1,C2_linear_svm,11,0.0,1.0,1.0,0.05270083631563481
3,1,C3_rbf_svm,,0.0,1.0,1.0,0.0406625790908037
3,1,C4_trees,,0.01388888888888884,0.9859154929577465,1.0,0.11934089429983713
3,1,C5_fixed_mlp,49,0.01388888888888884,0.9859154929577465,0.9992063492063492,0.04671227730550173
3,1,C6_fair_nas,49,0.01388888888888884,0.9859154929577465,0.9992063492063492,0.04482603060466262
3,2,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
3,2,C1_logreg,11,0.01388888888888884,0.9859154929577465,1.0,0.04248872065880264
3,2,C2_linear_svm,11,0.0,1.0,1.0,0.05270083631563481
3,2,C3_rbf_svm,,0.0,1.0,1.0,0.0406625790908037
3,2,C4_trees,,0.01388888888888884,0.9859154929577465,1.0,0.11934089429983713
3,2,C5_fixed_mlp,49,0.01388888888888884,0.9859154929577465,0.9992063492063492,0.039356733532617046
3,2,C6_fair_nas,73,0.01388888888888884,0.9859154929577465,1.0,0.04600379536881826
3,3,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
3,3,C1_logreg,11,0.01388888888888884,0.9859154929577465,1.0,0.04248872065880264
3,3,C2_linear_svm,11,0.0,1.0,1.0,0.05270083631563481
3,3,C3_rbf_svm,,0.0,1.0,1.0,0.0406625790908037
3,3,C4_trees,,0.01388888888888884,0.9859154929577465,1.0,0.11934089429983713
3,3,C5_fixed_mlp,49,0.01388888888888884,0.9859154929577465,0.9992063492063492,0.044871006167081486
3,3,C6_fair_nas,97,0.028174603174603186,0.971830985915493,0.9992063492063492,0.04405895598424182
3,4,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
3,4,C1_logreg,11,0.01388888888888884,0.9859154929577465,1.0,0.04248872065880264
3,4,C2_linear_svm,11,0.0,1.0,1.0,0.05270083631563481
3,4,C3_rbf_svm,,0.0,1.0,1.0,0.0406625790908037
3,4,C4_trees,,0.01388888888888884,0.9859154929577465,1.0,0.11934089429983713
3,4,C5_fixed_mlp,49,0.028174603174603186,0.971830985915493,0.9992063492063492,0.03638208917399106
3,4,C6_fair_nas,73,0.028174603174603186,0.971830985915493,0.9992063492063492,0.03987202204189986
3,5,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
3,5,C1_logreg,11,0.01388888888888884,0.9859154929577465,1.0,0.04248872065880264
3,5,C2_linear_svm,11,0.0,1.0,1.0,0.05270083631563481
3,5,C3_rbf_svm,,0.0,1.0,1.0,0.0406625790908037
3,5,C4_trees,,0.01388888888888884,0.9859154929577465,1.0,0.11934089429983713
